threshold,recall,precision,f1_score
0.1,1.0,0.5853293219879402,0.7384324680930778
0.1163265306122449,1.0,0.5863438231603999,0.7392392678054548
0.1326530612244898,1.0,0.5870043767643022,0.7397640300918749
0.1489795918367347,0.9999117621106504,0.5874698670261023,0.7401093966854437
0.1653061224489796,0.9997794052766258,0.58787210584344,0.7403922337392895
0.1816326530612245,0.9996249889702639,0.5881551281052878,0.7405742862279168
0.1979591836734694,0.9995146916085768,0.588525633532063,0.7408376321318498
0.2142857142857143,0.999161740051178,0.5888378986232629,0.7409879512159211
0.2306122448979592,0.9987205506044295,0.5896357266582447,0.7414977684969086
0.2469387755102041,0.9982573016853437,0.591179275477811,0.7425889611828125
0.263265306122449,0.9975734580428837,0.5919419864914394,0.7430007886435331
0.2795918367346939,0.9971322685961351,0.5930853506527587,0.7437781269796868
0.29591836734693877,0.9964484249536751,0.594449123545823,0.7446587537091988
0.3122448979591837,0.9958087002558899,0.5973929729372064,0.7467844528813784
0.3285714285714286,0.9950366187240801,0.5982836830517018,0.7472623958385104
0.3448979591836735,0.9941321803582458,0.5998163257157307,0.7482007222014693
0.36122448979591837,0.9929850877966999,0.600579044976051,0.7484681958381484
0.37755102040816324,0.9912203300097062,0.6057509537739791,0.7519642543364209
0.3938775510204082,0.9901835348098473,0.6272726002319764,0.7680146461233115
0.4102040816326531,0.9886173122738904,0.635318467274351,0.7735365443200746
0.42653061224489797,0.9867422571252096,0.6366858346618083,0.7739730767899782
0.44285714285714284,0.9837421688873202,0.6378003432494279,0.7738694339360705
0.4591836734693878,0.9783155386923145,0.6421528169931802,0.7753660562087504
0.4755102040816327,0.9654548663195976,0.6545916841160634,0.7801982316029663
0.49183673469387756,0.9454689843818936,0.6574426309976684,0.775578154970866
